#arXiv:1809.08597
#title:Search for single production of vector-like quarks decaying to a top quark and a W boson in proton-proton collisions at $\sqrt{s}=$ 13 TeV 
#luminosity 35.9 fb-1 
#Energy 13000 GeV 
#A.~M.~Sirunyan and al. CMS Collaborations 
#Fig8 lower right 
#pp → Xbq → Wtbq  , Γ/M= 30% 
#Mass(GeV), Γ/M= 30%, obs(pb)
800 0.3 0.25884720403183015
900 0.3 0.2243528945214849
1000 0.3 0.20153376859417352
1100 0.3 0.13994672282630674
1200 0.3 0.09580020967955409
1300 0.3 0.07785819798516787
1400 0.3 0.06557981487024374
1500 0.3 0.06061898993497578
1600 0.3 0.05724848196539521
1700 0.3 0.055634170213332244
1800 0.3 0.054453380314190655
1900 0.3 0.05179474679231213
2000 0.3 0.04926591847559943

